iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
53,1.5852351188659668,-4.6942139925656265,0.11653924104453516,-4.489052067362536,-4.9154234085003585,0.0,0.23562293482128055,0.1,0.0014996528625488281,0.05059671401977539,0.049708247,0.45069978,-4.7923390020257,-0.15343140399937316,-0.04698596255338665,0.0,400,0.1521320343017578,0.004731050394988429,0.002583567101474494,21600,-4.267473907909945,0.0
54,1.5916697978973389,-4.644132674777806,0.1589407429678535,-4.4049259063117585,-5.0523668213308,0.0,0.24451183193247286,0.1,0.003005504608154297,0.04708743095397949,0.05056201,0.42272034,-4.7775183693009105,-0.15443678368553637,-0.046510892540658356,0.0,400,0.1552426815032959,0.0051778964242941185,0.0035479181019676884,22000,-4.249882345641225,0.0
55,1.6071476936340332,-4.673857329422289,0.13895577539602125,-4.444617304927831,-5.174676406439197,0.0,0.251138625666252,0.1,0.0030095577239990234,0.0577082633972168,0.050171115,0.45767364,-4.767152265313048,-0.1526636791728059,-0.046792826953123354,0.0,400,0.18622422218322754,0.004071160909156833,0.002745936151757877,22400,-4.233835078065797,0.0
56,1.600182294845581,-4.648420155450577,0.13276291478758184,-4.4323917973935485,-4.912321757414277,0.0,0.2411134714730016,0.1,0.0014998912811279297,0.05512881278991699,0.050425783,0.4923541,-4.7552790543268015,-0.15203893398323942,-0.046541552987271986,0.0,400,0.15542125701904297,0.00436592746077118,0.004219521727221476,22800,-4.237641267760133,0.0
57,1.5723836421966553,-4.658348131189175,0.16502177855236919,-4.357976342630216,-5.076201439885109,0.0,0.2429332684113985,0.1,0.00325775146484375,0.04911684989929199,0.049806412,0.45614162,-4.745585962013038,-0.1512291580251023,-0.0466471740369424,0.0,400,0.15411925315856934,0.00656036513536139,0.004005288965222563,23200,-4.22027465179431,0.0
58,1.5752694606781006,-4.649839331064986,0.1227396178783881,-4.393880899740377,-4.985654815534923,0.0,0.26210977849732436,0.1,0.0022504329681396484,0.053972721099853516,0.04909032,0.4368557,-4.736011298918234,-0.15139694562993256,-0.04657071982710043,0.0,400,0.1631155014038086,0.006023987384980915,0.0035018792899454768,23600,-4.218310962721921,0.0
59,1.5747909545898438,-4.633280202458689,0.1254217051187499,-4.378842423870182,-5.015916583987799,0.0,0.23825494542816625,0.1,0.0017621517181396484,0.05296492576599121,0.049870044,0.5002856,-4.725738189272279,-0.15287091925117535,-0.04640695587632909,0.0,400,0.14986252784729004,0.004576486042792872,0.0031472568142877034,24000,-4.214542503852213,0.0
60,1.577892780303955,-4.6178175575489275,0.13398071705185088,-4.365895169642018,-4.931603303712766,0.0,0.24430810115014576,0.1,0.003255128860473633,0.05115532875061035,0.05042355,0.420885,-4.714946126099944,-0.15283516668953218,-0.04626013508184622,0.0,400,0.1494605541229248,0.0036349184182830653,0.002716270818103381,24400,-4.212630875876203,0.0
61,1.593493938446045,-4.6096210972855145,0.11254910134071325,-4.354047827743728,-4.7823533956895945,0.0,0.2493390795931394,0.1,0.0029990673065185547,0.05989980697631836,0.05042326,0.4164332,-4.704413623218501,-0.1500848760575556,-0.046172394082983244,0.0,400,0.18065595626831055,0.003681100573369636,0.0025628242987704203,24800,-4.22166265806928,0.0
62,1.5708792209625244,-4.5639299737599694,0.12562735907577346,-4.261041159160114,-4.867300972361581,0.0,0.2369755389796785,0.1,0.0037543773651123047,0.05928635597229004,0.05037795,0.46623862,-4.6903652582726485,-0.14890253655862618,-0.045713506722531196,0.0,400,0.17155933380126953,0.0045981640303932895,0.0031935637455488743,25200,-4.222043814282365,0.0
63,1.607095718383789,-4.616069402147587,0.10889669014434616,-4.409630758247786,-4.815974267636915,0.0,0.25016071298848114,0.1,0.0030052661895751953,0.05488419532775879,0.050066102,0.45875657,-4.682935672660143,-0.1517201508150989,-0.046228533241990666,0.0,400,0.15988707542419434,0.0031884814458809094,0.002480890195206101,25600,-4.211196594367927,0.0
64,1.5910000801086426,-4.5387578510863955,0.13864609904828487,-4.265705276582851,-4.796899237195546,0.0,0.24079212312107082,0.1,0.0030133724212646484,0.05113554000854492,0.04991436,0.4935633,-4.668517890502769,-0.14920238574425024,-0.0454658858880296,0.0,400,0.15300440788269043,0.007429104022845987,0.004002079928815327,26000,-4.240694787299468,0.0
65,1.5476255416870117,-4.535687347293905,0.13704133116090167,-4.278261837037792,-4.999805157936546,0.0,0.24936319833660467,0.1,0.0037584304809570312,0.05642390251159668,0.050458226,0.40024367,-4.655234836181883,-0.1481800940993079,-0.04542433788181904,0.0,400,0.1498856544494629,0.0038545235989989875,0.0026243470477320834,26400,-4.258506545172236,0.0
66,1.6845653057098389,-4.52458554269413,0.11924071438717188,-4.258099552293394,-4.83210350361409,0.0,0.24447080289514428,0.1,0.0022554397583007812,0.05288863182067871,0.05053958,0.40767303,-4.642169906833107,-0.1493779051194818,-0.04531918180129781,0.0,400,0.15413331985473633,0.0035272350547474545,0.0023075539782728455,26800,-4.268850683786679,0.0
67,1.560870885848999,-4.519154328678204,0.11026037167315841,-4.351734999051103,-4.883968509240936,0.0,0.2493183024262171,0.1,0.0025091171264648438,0.054641008377075195,0.04950843,0.38037026,-4.629868349017617,-0.14881119556394184,-0.045266541974442964,0.0,400,0.19556403160095215,0.005123619025403847,0.003524420671413192,27200,-4.268741518026901,0.0
68,1.7041733264923096,-4.5314247029444585,0.09745003337356005,-4.414339188292179,-4.814443097176634,0.0,0.2511427987176891,0.1,0.003003835678100586,0.049363136291503906,0.050770175,0.4437543,-4.620023984410301,-0.14846516112787794,-0.045392323311833176,0.0,400,0.14913272857666016,0.0035706682480687014,0.0018796077004638878,27600,-4.271094750688761,0.0
69,1.6167032718658447,-4.511725347211576,0.12649189442890527,-4.199438964588573,-4.745153700902153,0.0,0.24381401588917992,0.1,0.0037610530853271484,0.05832934379577637,0.049272943,0.46767777,-4.609194120690429,-0.14823619015433215,-0.04518487064061806,0.0,400,0.17071843147277832,0.0047670632136571234,0.003177186432849279,28000,-4.250742533068006,0.0
70,1.5848462581634521,-4.530553310441498,0.11577387853468689,-4.266224121115571,-4.683454004394425,0.0,0.2410305494867553,0.1,0.003750324249267578,0.046634674072265625,0.050501887,0.44618568,-4.601330039665536,-0.14817760164178823,-0.0453871134158642,0.0,400,0.15993094444274902,0.003114818423800763,0.001853769464090509,28400,-4.222966214058376,0.0
71,1.598893165588379,-4.506869898635824,0.09719284317607885,-4.279037296855059,-4.7048445390253315,0.0,0.2497751453136992,0.1,0.003004789352416992,0.04887676239013672,0.049728025,0.47891954,-4.591884025562565,-0.14833708100728893,-0.04513606126484433,0.0,400,0.15106749534606934,0.004122892212952101,0.0028341142895706196,28800,-4.245359307997914,0.0
72,1.5847516059875488,-4.505121305737457,0.09435835649878387,-4.320858510483011,-4.766349547725891,0.0,0.2557116678541949,0.1,0.003261089324951172,0.051422834396362305,0.050409894,0.3739571,-4.583207753580054,-0.14694222860298822,-0.04511516130254598,0.0,400,0.15902924537658691,0.004173851434941049,0.002600215019473828,29200,-4.261149655386907,0.0
73,1.5854179859161377,-4.447619119715951,0.11115420356506579,-4.212226414997306,-4.587023450294642,0.0,0.25934336441120653,0.1,0.00327301025390625,0.05315709114074707,0.049998403,0.47601357,-4.569648890193644,-0.14603916290238925,-0.04455177331706956,0.0,400,0.1549084186553955,0.004882074023897498,0.002877179607322834,29600,-4.231562027302166,0.0
