iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
31,6.473744630813599,-32.987636412559915,10.607250776091176,0.7005325055016145,-54.41421851936856,0.0,0.15008076726803685,0.01,0.005999088287353516,0.10352230072021484,0.0050084055,0.070144236,-37.61680811650031,-0.13421386343298156,-0.33007727159176753,0.0,2530,0.3948674201965332,0.08032798302948599,0.07296847792138059,80923,-24.364989923982982,0.0
32,6.483670473098755,-33.83072832728519,9.492043858062408,-9.207556362647223,-51.68438870263292,0.0,0.14909149280148587,0.01,0.006999492645263672,0.12603187561035156,0.0050462214,0.069400035,-37.2382001375788,-0.13412497930762152,-0.33861325529859976,0.0,2560,0.4116337299346924,0.06850606961339366,0.06589494472244446,83483,-24.38229653113038,0.0
33,6.481012582778931,-33.726068518958385,9.972828137006626,0.5618633025758015,-51.42631356326811,0.0,0.15198926456898657,0.01,0.005000591278076172,0.11551594734191895,0.004987492,0.0683859,-36.88698697571676,-0.13564195610278232,-0.3374637318491207,0.0,2535,0.4271240234375,0.06279751939428001,0.060450129049829486,86018,-24.526896950069787,0.0
34,6.386992692947388,-33.244422732850666,10.327681074289792,0.5474084077647163,-56.01417794216588,0.0,0.14959835166130622,0.01,0.004004716873168945,0.11351561546325684,0.005058687,0.070476726,-36.52273055143015,-0.133749115365189,-0.3326483346549132,0.0,2511,0.3945808410644531,0.06163989715983645,0.0588972357098873,88529,-24.504981541290427,0.0
35,6.437609672546387,-32.59775898542315,9.692636984407832,0.5071639955337928,-49.40531471875018,0.0,0.14791104411746664,0.01,0.003999233245849609,0.11652874946594238,0.005117288,0.07205282,-36.13023339482945,-0.1301404153058719,-0.326112813431008,0.0,2517,0.40021252632141113,0.06617189767290654,0.0631589126953503,91046,-24.4428548066807,0.0
36,6.0492613315582275,-32.01760373639304,10.291133686521622,0.6793770970671509,-49.22273956023593,0.0,0.15161773856254945,0.01,0.00400090217590332,0.0945272445678711,0.0050160503,0.068290286,-35.71897042898581,-0.1289200535826617,-0.32036913653799826,0.0,2529,0.36830878257751465,0.08196739498422627,0.07826193768520578,93575,-24.356040071327676,0.0
37,6.018153429031372,-30.494173244046983,11.323624055970285,0.5582234067823592,-52.352290722844174,0.0,0.15236508479645516,0.01,0.004000186920166016,0.09372496604919434,0.0050537838,0.07137108,-35.196490710491936,-0.12428809265312006,-0.3051405855349495,0.0,2467,0.35354161262512207,0.08305839297944004,0.07869561421472789,96042,-24.43905636059717,0.0
38,5.617308139801025,-30.28830019351077,11.925403196464128,0.6704762360114126,-45.72080573360014,0.0,0.1492235754213634,0.01,0.004002809524536133,0.08802056312561035,0.005049895,0.0715773,-34.70567165879382,-0.12440275528158673,-0.30319076863771977,0.0,2451,0.3525419235229492,0.09859992356502484,0.094943186376643,98493,-24.14597053745659,0.0
39,5.782544374465942,-31.668896627193703,10.021254395030967,0.40925476121538984,-50.46956738892932,0.0,0.15423403691276025,0.01,0.003999948501586914,0.09051847457885742,0.0050450903,0.067034505,-34.40199415563381,-0.12577820249789426,-0.3168984248798966,0.0,2536,0.3464474678039551,0.06846131769439653,0.06444967546115185,101029,-23.89188305468039,0.0
40,5.685400724411011,-30.46538605745735,10.98818448301377,0.6294003942910835,-52.14543853540061,0.0,0.1496736053583713,0.01,0.003998994827270508,0.09063839912414551,0.0050335936,0.06986153,-34.00833334581616,-0.12395357818388524,-0.30496225269149857,0.0,2499,0.3530552387237549,0.08574150787427143,0.08235374839189367,103528,-23.776681850447424,0.0
41,5.697634696960449,-30.064028468879087,10.63668813728096,0.6523730344725511,-48.351655052098074,0.0,0.1526006549355556,0.01,0.005510568618774414,0.09400606155395508,0.0050900783,0.068728454,-33.61390285812246,-0.12327022647748873,-0.3008058521228631,0.0,2500,0.3624448776245117,0.07935143539003776,0.07450313516219462,106028,-23.761617489584207,0.0
42,5.642509460449219,-29.962451122571395,11.185195537854002,0.5604531747549348,-47.24925020694064,0.0,0.15131709875758842,0.01,0.003999471664428711,0.09170413017272949,0.005028391,0.0698967,-33.24875768456735,-0.12295133909331231,-0.29979020203947215,0.0,2491,0.34357452392578125,0.0909339905232044,0.08593575714031029,108519,-23.255312860383437,0.0
